model,target,feature,importance
boosting_absolute,target_total_fantasy_points,prior_year_carries_per_game,0.0
boosting_absolute,target_total_fantasy_points,prior_year_passing_attempts_per_game,0.0
boosting_absolute,target_total_fantasy_points,prior_year_receptions_per_game,0.0
boosting_absolute,target_total_fantasy_points,missingindicator_prior_year_expected_fantasy_points,0.0
boosting_absolute,target_total_fantasy_points,prior_team_offensive_plays_per_game,0.0
boosting_absolute,target_total_fantasy_points,missingindicator_prior_year_expected_points_per_game,0.0
boosting_absolute,target_total_fantasy_points,missingindicator_prior_year_fantasy_points_over_expected,0.0
boosting_absolute,target_total_fantasy_points,missingindicator_prior_year_snap_share_std_dev,0.0
boosting_absolute,target_total_fantasy_points,missingindicator_prior_year_snap_share,0.0
boosting_absolute,target_total_fantasy_points,missingindicator_multi_year_weighted_snap_share,0.0
boosting_absolute,target_total_fantasy_points,position_QB,0.0
boosting_absolute,target_total_fantasy_points,position_RB,0.0
boosting_absolute,target_total_fantasy_points,position_WR,0.0
boosting_q50,target_total_fantasy_points,prior_year_total_fantasy_points,0.6165260113434968
boosting_q50,target_total_fantasy_points,age_x_prior_missed_rate,0.13106039734440064
boosting_q50,target_total_fantasy_points,prior_year_expected_fantasy_points,0.06477181550900435
boosting_q50,target_total_fantasy_points,multi_year_weighted_points_per_game,0.047142633701907265
boosting_q50,target_total_fantasy_points,age,0.04361125429289265
boosting_q50,target_total_fantasy_points,prior_year_replacement_adjusted_points,0.027681742503557667
boosting_q50,target_total_fantasy_points,prior_team_points_per_game,0.015874818934405958
boosting_q50,target_total_fantasy_points,career_games_missed_rate,0.008600290608243666
boosting_q50,target_total_fantasy_points,prior_year_points_per_game,0.008037125743202086
boosting_q50,target_total_fantasy_points,multi_year_weighted_snap_share,0.007756575859238668
boosting_q50,target_total_fantasy_points,recent_5_points_per_game,0.00771462345506024
boosting_q50,target_total_fantasy_points,prior_year_positional_finish,0.006610356359275963
boosting_q50,target_total_fantasy_points,career_points_per_game,0.0048321653647916745
boosting_q50,target_total_fantasy_points,prior_year_weekly_std_dev,0.0025277406641544624
boosting_q50,target_total_fantasy_points,prior_year_targets_per_game,0.001957163433246495
boosting_q50,target_total_fantasy_points,years_experience,0.0012358237364339187
boosting_q50,target_total_fantasy_points,prior_year_snap_share,0.0008581209902050053
boosting_q50,target_total_fantasy_points,prior_team_pass_rate,0.0004933677404997968
boosting_q50,target_total_fantasy_points,prior_year_injury_report_weeks,0.000422974545578712
boosting_q50,target_total_fantasy_points,prior_year_coefficient_of_variation,0.00038143348951484574
boosting_q50,target_total_fantasy_points,prior_year_opportunities_per_game,0.00038061853667979305
boosting_q50,target_total_fantasy_points,prior_year_boom_week_rate,0.0003152432637067793
boosting_q50,target_total_fantasy_points,prior_team_rush_rate,0.00030068358600990856
boosting_q50,target_total_fantasy_points,recent_5_opportunities_per_game,0.00025904094660335206
boosting_q50,target_total_fantasy_points,position_TE,0.0002565551949658162
boosting_q50,target_total_fantasy_points,prior_year_snap_share_std_dev,0.00025464107979798365
boosting_q50,target_total_fantasy_points,prior_year_usage_std_dev,0.0001367817731256133
boosting_q50,target_total_fantasy_points,recent_production_trend,0.0
boosting_q50,target_total_fantasy_points,prior_year_games_played,0.0
boosting_q50,target_total_fantasy_points,career_seasons,0.0
boosting_q50,target_total_fantasy_points,prior_year_games_missed_rate,0.0
boosting_q50,target_total_fantasy_points,prior_year_games_missed,0.0
boosting_q50,target_total_fantasy_points,multi_year_weighted_opportunities_per_game,0.0
boosting_q50,target_total_fantasy_points,recent_usage_trend,0.0
boosting_q50,target_total_fantasy_points,prior_year_bust_week_rate,0.0
boosting_q50,target_total_fantasy_points,prior_year_expected_points_per_game,0.0
boosting_q50,target_total_fantasy_points,prior_year_fantasy_points_over_expected,0.0
boosting_q50,target_total_fantasy_points,prior_year_carries_per_game,0.0
boosting_q50,target_total_fantasy_points,prior_year_passing_attempts_per_game,0.0
boosting_q50,target_total_fantasy_points,prior_year_receptions_per_game,0.0
boosting_q50,target_total_fantasy_points,missingindicator_prior_year_expected_fantasy_points,0.0
boosting_q50,target_total_fantasy_points,prior_team_offensive_plays_per_game,0.0
boosting_q50,target_total_fantasy_points,missingindicator_prior_year_expected_points_per_game,0.0
boosting_q50,target_total_fantasy_points,missingindicator_prior_year_fantasy_points_over_expected,0.0
boosting_q50,target_total_fantasy_points,missingindicator_prior_year_snap_share_std_dev,0.0
boosting_q50,target_total_fantasy_points,missingindicator_prior_year_snap_share,0.0
boosting_q50,target_total_fantasy_points,missingindicator_multi_year_weighted_snap_share,0.0
boosting_q50,target_total_fantasy_points,position_QB,0.0
boosting_q50,target_total_fantasy_points,position_RB,0.0
boosting_q50,target_total_fantasy_points,position_WR,0.0
